Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
97,2457988.31083,53.69076,-1.62907,1.811,2457988.30113,2457988.32295,31.42292,1.91911,279.8598,-1.93218,292.52198,0.00252,1.00888,13.23264,3.85129,12.66217,58.21654,0.42113,0.42137,-0.54454,-0.5444,1,Not_seen
98,2457988.30497,51.50949,-0.59541,1.805,2457988.2948,2457988.3177,32.97738,2.17787,279.19716,-2.14486,291.58893,0.00252,1.00888,13.12132,4.32273,12.39177,58.21127,0.41407,0.41434,-0.50146,-0.50131,1,Not_seen
99,2457989.31038,50.82838,-0.13947,2.81,2457989.2911,2457989.33448,62.46567,4.81355,269.04396,-4.11059,293.30708,0.00255,1.00882,25.82872,8.92414,24.26312,57.30596,1.55973,1.56191,0.55543,0.55648,0.5,Not_seen
100,2458017.26432,53.58333,-2.43333,0.764,2458017.25511,2458017.27583,29.84329,1.85677,268.39325,-1.96966,274.02857,0.00257,1.00158,6.81077,3.82643,5.63532,56.93768,0.10947,0.10953,-0.73272,-0.73268,1,Not_seen
101,2458017.25763,51.50853,-0.12574,0.758,2458017.24849,2458017.26905,29.60814,1.95147,268.4948,-2.04873,273.87647,0.00257,1.00159,6.70464,4.00019,5.38167,56.93865,0.10609,0.10615,-0.71743,-0.71739,1,Not_seen
102,2458017.26059,53.95763,-1.08271,0.761,2458017.25141,2458017.27207,29.7596,1.82952,268.42569,-1.9467,274.04843,0.00257,1.00159,6.77226,3.77622,5.62274,56.94083,0.10824,0.1083,-0.7385,-0.73846,1,Not_seen
103,2458018.26966,53.45,-2.23333,1.77,2458018.25284,2458018.29069,54.51076,3.82324,258.34047,-3.60661,275.57459,0.0026,1.0014,18.75632,7.42985,17.23412,56.22004,0.81342,0.81431,0.03062,0.03109,0,Seen
104,2458047.21835,51.11303,-0.18312,1.718,2458047.20269,2458047.23792,50.72006,3.5529,248.72998,-3.42241,257.351,0.00265,0.99303,11.08535,6.97531,8.62102,55.18379,0.28052,0.2808,-0.31435,-0.31419,0.5,Not_seen
105,2458047.21775,51.38333,-0.1,1.718,2458047.2021,2458047.23733,50.73014,3.52876,248.61257,-3.40175,257.2659,0.00265,0.99303,11.08245,6.93051,8.65334,55.18549,0.28038,0.28066,-0.31891,-0.31875,0.5,Not_seen
106,2458047.21684,53.95763,-1.08271,1.717,2458047.20108,2458047.23654,51.06117,3.29874,247.37568,-3.21358,256.37777,0.00265,0.99303,11.10679,6.51232,9.0021,55.19912,0.28168,0.28194,-0.35996,-0.35981,1,Not_seen
107,2458048.22349,53.95763,-1.08271,2.723,2458048.19952,2458048.25345,77.66153,4.96717,238.2261,-4.90034,258.11324,0.00267,0.99288,22.1785,9.86751,19.88714,54.65577,1.10175,1.10327,0.42441,0.42518,1,Not_seen
108,2458077.19024,52.48142,-1.89983,1.69,2458077.16841,2458077.21753,70.74318,4.28483,232.17031,-4.12989,242.71366,0.0027,0.98559,13.4822,8.41472,10.54336,54.0705,0.40597,0.40644,-0.09694,-0.09667,1,Not_seen
109,2458077.18922,51.11303,-0.18312,1.689,2458077.16762,2458077.21623,70.0002,4.44437,233.38808,-4.25711,243.657,0.0027,0.98559,13.45226,8.70148,10.26892,54.05922,0.40409,0.40458,-0.06935,-0.06907,0.5,Not_seen
110,2458077.18827,51.38333,-0.1,1.688,2458077.16663,2458077.21531,70.10022,4.40933,233.16593,-4.23159,243.47778,0.0027,0.98559,13.44611,8.64092,10.31185,54.06198,0.40374,0.40423,-0.07561,-0.07533,0.5,Seen
111,2458107.18523,52.48142,-1.89983,1.685,2458107.15796,2458107.21931,88.33655,5.00068,225.59788,-4.77204,236.89221,0.00272,0.98129,14.92507,9.77273,11.29432,53.73881,0.49394,0.49461,0.08923,0.08961,1,Not_seen
112,2458107.18258,53.58333,-2.43333,1.683,2458107.15495,2458107.21712,89.51594,4.83777,224.29334,-4.63924,235.82225,0.00272,0.98129,14.91394,9.47701,11.52891,53.75182,0.49333,0.49398,0.05931,0.05968,1,Not_seen
113,2458107.18498,51.50949,-0.59541,1.685,2458107.15805,2458107.21865,87.26346,5.13309,226.68579,-4.87747,237.74729,0.00272,0.98129,14.90824,10.01056,11.0615,53.72779,0.49273,0.49342,0.11233,0.11272,1,Not_seen
