hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-9,2010-08-10 03:08:00,2010-08-11,Germany,Moerlenbach,Hessen,clear,totally cloudy,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-11,Iran,Esfahan,Esfahan,hazy,partly cloudy,False,True,False,False
31-9,2010-08-10 03:08:00,2010-08-11,Jordan,Amman,Amman,clear,clear,True,True,True,False
31-9,2010-08-10 03:08:00,2010-08-11,Pakistan,karachi,sindh,hazy,clear,False,False,False,False
31-9,2010-08-10 03:08:00,2010-08-11,Saudi Arabia,Halat Ammar,Tabouk,superb,partly cloudy,False,True,True,False
31-9,2010-08-10 03:08:00,2010-08-11,United States,Blacksburg,Virginia,hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-08,United States,Blacksburg,Virginia,hazy,partly cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Australia,Brisbane,nsw,clear,partly cloudy,True,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Bangladesh,Dhaka,Bangladesh,clear,partly cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Ghana,Accra,Greater Accra,hazy,partly cloudy,True,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Iran,Esfarjan,Esfahan,superb,clear,False,True,True,False
31-10,2010-09-08 10:30:00,2010-09-09,Iran,Betlijeh,Isfahan,hazy,partly cloudy,False,True,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Jordan,Amman,Amman,hazy,clear,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Libya,tripoli,na,hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Nigeria,Ikorodu,Lagos,very hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Nigeria,Ilorin,Kwara,very hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Nigeria,KADUNA,KADUNA,clear,clear,True,True,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Nigeria,Agege,Lagos,very hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Pakistan,karachi,sindh,very hazy,partly cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Philippines,Marawi City,Lanao del Sur,clear,clear,True,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Senegal,Dakar,Senega,hazy,clear,True,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,South Africa,Cape Town,Western Province,very hazy,totally cloudy,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,True,True,False,False
31-10,2010-09-08 10:30:00,2010-09-09,United Kingdom,York,North Yorkshire,clear,clear,False,False,False,False
31-10,2010-09-08 10:30:00,2010-09-09,United States,Blacksburg,VA,clear,partly cloudy,True,True,False,False
31-10,2010-09-08 10:30:00,2010-09-09,United States,McDonald Obs,Texas,very hazy,totally cloudy,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,Germany,Munich,Bavaria,hazy,partly cloudy,False,False,False,True
31-11,2010-10-07 18:44:00,2010-10-08,Nigeria,kaduna,kaduna,very hazy,totally cloudy,False,False,False,False
