hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-Jul,12/06/2010 11:15,13/06/2010,Nigeria,Bauchi,Bauchi,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Nigeria,Kaduna,Kaduna,clear,clear,TRUE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Nigeria,Ikorodu,Lagos,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Pakistan,karachi,sindh,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,TRUE,TRUE,TRUE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Saudi Arabia,Dammam,Eastern Province,hazy,partly cloudy,FALSE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Senegal,Dakar,Senegal,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,South Africa,Cape Town,Western Province,very hazy,totally cloudy,TRUE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Tanzania,Daressalaam,Tanzania,clear,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,TRUE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,United Arab Emirates,Abu Dhabi,Abu Dhabi,hazy,clear,TRUE,TRUE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,United Kingdom,London,England,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jul,12/06/2010 11:15,13/06/2010,United States,Blacksburg,Virginia,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Algeria,Ghardaia,Ghardaia,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Bangladesh,Dhaka,Dhaka,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Germany,Munich,Bavaria,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Germany,Moerlenbach,Hessen,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Lebanon,Beirut,NA,clear,clear,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Nigeria,Lagos,Lagos,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Nigeria,Bauchi,Bauchi,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Nigeria,KADUNA,KADUNA,superb,clear,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Oman,Muscat,Muscat,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Pakistan,karachi,sindh,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Saudi Arabia,Dammam,Eastern Province,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Senegal,Dakar,Senegal,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,South Africa,Cape Town,Western Province,hazy,clear,TRUE,TRUE,TRUE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,Tanzania,Daressalaam,Tanzania,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,United Arab Emirates,Abu Dhabi,Abu Dhabi,clear,clear,FALSE,FALSE,FALSE,TRUE
31-Aug,11/07/2010 19:40,12/07/2010,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,12/07/2010,United States,Blacksburg,Virginia,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,13/07/2010,Pakistan,karachi,sindh,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Aug,11/07/2010 19:40,13/07/2010,Saudi Arabia,Dammam,Eastern Province,hazy,clear,TRUE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Algeria,Ghardaia,Ghardaia,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Indonesia,Yogyakarta,Yogyakarta,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Iran,Maragheh,East Azerbaijan,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Jordan,Amman,Amman,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Lebanon,Bhamdoun,NA,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Libya,Tripoli,na,clear,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Malaysia,Tanjung Bidara,Melaka,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Nigeria,Marina Leventis,Lagos,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Nigeria,Lagos,Lagos,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Nigeria,Kaduna,Kaduna,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Norway,Oslo,Oslo,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Norway,Sandvika,Akershus,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Oman,Muscat,Muscat,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Pakistan,karachi,sindh,hazy,clear,FALSE,FALSE,FALSE,FALSE
